sender,receiver,amount,block_id
f04206dd6fdd7c17ec63eb251f40e6938503d8c6506e4830eaecfa34b73e1e84,f04206dd6fdd7c17ec63eb251f40e6938503d8c6506e4830eaecfa34b73e1e84,0.003883915301388606,91221648
app.nearcrowd.near,app.nearcrowd.near,0.06768250663467117,91221649
tpor-1.near,tpor-1.near,0.003613736799940965,91221649
19216ef034e0be151f9350e49fddf960644d58da10859ac5982639afff859c71,7ab66de99b71cf8893ffd64033f865d725cfb20ece7736f0aa933e2131e10f1d,0.04791,91221650
app.nearcrowd.near,app.nearcrowd.near,0.06768250663467117,91221651
sweat_welcome.near,77279da82964b97d911a52676f07bcf94e69171c62f5c6578e151cced1971e38,0.05,91221652
app.nearcrowd.near,app.nearcrowd.near,0.06768250663467117,91221653
relay.aurora,relay.aurora,0.18865246590154222,91221653
app.nearcrowd.near,app.nearcrowd.near,0.06768699561059853,91221654
relay.aurora,relay.aurora,0.18821107018373825,91221654
mytestapi.embr.playember_reserve.near,mytestapi.embr.playember_reserve.near,6.695476875e-07,91221654
perp.spin-fi.near,perp.spin-fi.near,0.1883772728519825,91221655
app.nearcrowd.near,app.nearcrowd.near,0.06768250663467117,91221656
48ba0a85ad25b9d80b8fa56044779a2c452141f50f3d10f2f9ccfc182bbd2fe5,48ba0a85ad25b9d80b8fa56044779a2c452141f50f3d10f2f9ccfc182bbd2fe5,0.0013896846185966554,91221657
app.nearcrowd.near,app.nearcrowd.near,0.06755031974629148,91221658
zerkalo.near,zerkalo.near,0.006108076612361648,91221658
marthacecilia.near,marthacecilia.near,0.0035266462106113765,91221659
f5e620451aac20cc8cc7f2bc735c6245c79d896f4f6d9a035ccbfb52068a4aaf,f5e620451aac20cc8cc7f2bc735c6245c79d896f4f6d9a035ccbfb52068a4aaf,0.008271183891253834,91221659
74a5815b6fd5f65bfdba8aea089b4f26527fbd1f2d3ff9c5f4d667b0b3e613b4,4abf80447a02e85e72de90d6a7698f86cb624ccdbc366395e5e6cdf3c69e8492,0.012,91221660
aurora-silo-demo.near,aurora-silo-demo.near,0.1902378315371922,91221660
be1f5081f5189f042b31515b6617b17662bf0d564743b8d4b05685f0518b8f9d,be1f5081f5189f042b31515b6617b17662bf0d564743b8d4b05685f0518b8f9d,0.0013896793529582555,91221660
natasha2020.near,natasha2020.near,0.003639747782305473,91221661
relay.aurora,relay.aurora,0.18837981865191888,91221661
relay.aurora,relay.aurora,0.18865246590154222,91221662
b0b0f9119f52994d0627d12d5a09965ffc1bd1b10c0a8d45989e570391d7d10a,75fd06de01bd77f4c49af13ea41d582805b0d018dc2877cf77eb63bfdc1a2ecf,2.11,91221662
32321118014239e6400ff018eef8f593aacbe93b7bc6f595ca02d2a791a2f440,95ad78ae2a030b9b5347570f1d1bc26d58e1507b4afe1f0f180984e636f1e25e,0.001,91221663
b92f1bf92866d813b036f0a1c447d98ab6950fdde5e08e637ea13316bb150236,7ab66de99b71cf8893ffd64033f865d725cfb20ece7736f0aa933e2131e10f1d,0.04791,91221663
mytestapi.embr.playember_reserve.near,de24206f-6.embr.playember_reserve.near,0.0,91221663
marthacecilia.near,marthacecilia.near,0.0035365001203160177,91221664
mytestapi.embr.playember_reserve.near,mytestapi.embr.playember_reserve.near,6.695476875e-07,91221664
perp.spin-fi.near,perp.spin-fi.near,0.1883777000305856,91221664
relay.aurora,relay.aurora,0.1886740057149913,91221665
401122485e6b6e56262772f44fd11e63e4a2ce42938ded7243c1ec723bc34116,401122485e6b6e56262772f44fd11e63e4a2ce42938ded7243c1ec723bc34116,0.0013942554269650463,91221665
app.nearcrowd.near,app.nearcrowd.near,0.06768413617626108,91221666
natasha2020.near,natasha2020.near,0.003596434930530218,91221667
5742e6e120e264a104fdcc1bcac963891a27eebe109ba50c608321a795104ba5,5742e6e120e264a104fdcc1bcac963891a27eebe109ba50c608321a795104ba5,0.0013924198641916462,91221667
feiyu.near,feiyu.near,0.0036138776983703855,91221668
mytestapi.embr.playember_reserve.near,de24206f-6.embr.playember_reserve.near,0.0,91221668
app.nearcrowd.near,app.nearcrowd.near,0.06755473026819574,91221669
mytestapi.embr.playember_reserve.near,mytestapi.embr.playember_reserve.near,6.695476875e-07,91221669
sweat_welcome.near,43b4fcdd5169aaf9c102d95dfeab5f6a8e24879aad99d29c0573c96b4f217ced,0.05,91221670
sweat_welcome.near,sweat_welcome.near,1.25248430625e-05,91221671
relay.aurora,relay.aurora,0.18865246590154222,91221671
sweat_welcome.near,767fbe17ca8ab8eaaa37bb142c2f9c82d3c88bf01ff5eea14e65fbcf514dfd17,0.05,91221671
yanacrowd.near,yanacrowd.near,0.003421423175813018,91221672
relay.aurora,relay.aurora,0.18820856254021326,91221673
tekuno.near,tekuno.near,1.25248430625e-05,91221674
relay.aurora,relay.aurora,0.18866098008972332,91221674
app.nearcrowd.near,app.nearcrowd.near,0.06768384302256268,91221675
7c9a0c13e93a85e8f6946455ecadae81d48ecd71b8d480c7a5482dea5c85938d,7c9a0c13e93a85e8f6946455ecadae81d48ecd71b8d480c7a5482dea5c85938d,0.003883892926259196,91221675
app.nearcrowd.near,app.nearcrowd.near,0.06768250663467117,91221676
b062e7eeeef47500f86da8865b18c9dd33e9e7059496bcd9046e1e621d1aa78b,b062e7eeeef47500f86da8865b18c9dd33e9e7059496bcd9046e1e621d1aa78b,0.0013924211806012462,91221676
cxzcxz27.near,cxzcxz27.near,0.0036244750251921923,91221677
mytestapi.embr.playember_reserve.near,de24206f-6.embr.playember_reserve.near,0.0,91221677
mytestapi.embr.playember_reserve.near,mytestapi.embr.playember_reserve.near,6.695476875e-07,91221678
ekaterinappp.near,ekaterinappp.near,0.013205874313211343,91221679
relay.aurora,relay.aurora,0.1792593081603004,91221679
distributions.grow.sweat,distributions.grow.sweat,0.0035884715860686517,91221679
32321118014239e6400ff018eef8f593aacbe93b7bc6f595ca02d2a791a2f440,f670bb011ead6cee524121582e6c3f33aa57cc681654de11e24070d52b18dac7,0.001,91221680
relay.aurora,relay.aurora,0.18790024961623136,91221680
mytestapi.embr.playember_reserve.near,mytestapi.embr.playember_reserve.near,0.18849305279020231,91221680
relay.aurora,relay.aurora,0.18868267797303057,91221681
mytestapi.embr.playember_reserve.near,mytestapi.embr.playember_reserve.near,0.00011043022107742419,91221681
sweat_welcome.near,0a3a8f4e1fb724fdf622472567704132fee0dd5c22b18482c85ee31c6a4a2637,0.05,91221681
sweat_welcome.near,sweat_welcome.near,1.25248430625e-05,91221682
relay.aurora,relay.aurora,0.1886740057149913,91221682
mytestapi.embr.playember_reserve.near,mytestapi.embr.playember_reserve.near,6.695476875e-07,91221682
sweat_welcome.near,c2fd0f4194b14f9f7224adcf69bda1e0fe909a8c5ffcfdd36391ab9b5284c546,0.05,91221682
app.nearcrowd.near,app.nearcrowd.near,0.06760882682602215,91221683
relay.aurora,relay.aurora,0.18866098008972332,91221683
sweat_welcome.near,sweat_welcome.near,1.25248430625e-05,91221683
048ed5f5926516d54e98861f36a34a24c7c7c06251f3dc5a808f6b2e6228f64f,048ed5f5926516d54e98861f36a34a24c7c7c06251f3dc5a808f6b2e6228f64f,0.0013915188649604555,91221683
4abf80447a02e85e72de90d6a7698f86cb624ccdbc366395e5e6cdf3c69e8492,74a5815b6fd5f65bfdba8aea089b4f26527fbd1f2d3ff9c5f4d667b0b3e613b4,0.06,91221684
relay.aurora,relay.aurora,0.18821439679272306,91221684
mytestapi.embr.playember_reserve.near,7151052e-0.embr.playember_reserve.near,0.004231055262098519,91221684
app.nearcrowd.near,app.nearcrowd.near,0.0676838537934842,91221685
embr.playember_reserve.near,embr.playember_reserve.near,0.00020087475679778555,91221685
3340b3405526ed5d2440f41c1d722e32352e9a40776244a6ad1c0212bf859c61,3340b3405526ed5d2440f41c1d722e32352e9a40776244a6ad1c0212bf859c61,0.003178117389184632,91221685
